customer_id,name,email,signup_date,country
1,Customer_1,customer_1@example.com,2023-04-13,Canada
2,Customer_2,customer_2@example.com,2023-12-15,Germany
3,Customer_3,customer_3@example.com,2023-09-28,UK
4,Customer_4,customer_4@example.com,2023-04-17,Canada
5,Customer_5,customer_5@example.com,2023-03-13,Canada
6,Customer_6,customer_6@example.com,2023-07-08,Australia
7,Customer_7,customer_7@example.com,2023-01-21,Canada
8,Customer_8,customer_8@example.com,2023-04-13,Germany
9,Customer_9,customer_9@example.com,2023-05-02,Germany
10,Customer_10,customer_10@example.com,2023-08-03,Germany
11,Customer_11,customer_11@example.com,2023-11-27,Australia
12,Customer_12,customer_12@example.com,2023-03-29,UK
13,Customer_13,customer_13@example.com,2023-04-10,Australia
14,Customer_14,customer_14@example.com,2023-12-26,Germany
15,Customer_15,customer_15@example.com,2023-06-01,Australia
16,Customer_16,customer_16@example.com,2023-05-11,Germany
17,Customer_17,customer_17@example.com,2023-05-30,USA
18,Customer_18,customer_18@example.com,2023-11-05,USA
19,Customer_19,customer_19@example.com,2023-09-15,Canada
20,Customer_20,customer_20@example.com,2023-12-10,UK
21,Customer_21,customer_21@example.com,2023-10-21,USA
22,Customer_22,customer_22@example.com,2023-07-11,Germany
23,Customer_23,customer_23@example.com,2023-10-04,Australia
24,Customer_24,customer_24@example.com,2023-06-10,Australia
25,Customer_25,customer_25@example.com,2023-11-10,Canada
26,Customer_26,customer_26@example.com,2023-01-22,Australia
27,Customer_27,customer_27@example.com,2023-09-10,USA
28,Customer_28,customer_28@example.com,2023-08-24,Australia
29,Customer_29,customer_29@example.com,2023-12-11,USA
30,Customer_30,customer_30@example.com,2023-02-18,USA
31,Customer_31,customer_31@example.com,2023-02-28,UK
32,Customer_32,customer_32@example.com,2023-06-19,Canada
33,Customer_33,customer_33@example.com,2023-07-07,Germany
34,Customer_34,customer_34@example.com,2023-09-28,USA
35,Customer_35,customer_35@example.com,2023-07-09,Canada
36,Customer_36,customer_36@example.com,2023-06-24,Germany
37,Customer_37,customer_37@example.com,2023-02-20,Australia
38,Customer_38,customer_38@example.com,2023-12-30,Canada
39,Customer_39,customer_39@example.com,2023-02-24,Canada
40,Customer_40,customer_40@example.com,2023-09-01,Canada
41,Customer_41,customer_41@example.com,2023-11-16,Australia
42,Customer_42,customer_42@example.com,2023-05-11,Australia
43,Customer_43,customer_43@example.com,2023-11-03,Canada
44,Customer_44,customer_44@example.com,2023-05-15,UK
45,Customer_45,customer_45@example.com,2023-01-21,USA
46,Customer_46,customer_46@example.com,2023-11-25,Australia
47,Customer_47,customer_47@example.com,2023-06-16,UK
48,Customer_48,customer_48@example.com,2023-10-01,Australia
49,Customer_49,customer_49@example.com,2023-03-30,Canada
50,Customer_50,customer_50@example.com,2023-11-12,UK
51,Customer_51,customer_51@example.com,2023-01-14,Germany
52,Customer_52,customer_52@example.com,2023-08-30,USA
53,Customer_53,customer_53@example.com,2023-09-22,USA
